RecordId,Address,Zip_Original,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,Longitude,Latitude,Zip_New,CensusTract_2010,CensusBlock_2010,SegmentID,Spc_Common,Spc_Latin,Location
1,245 E 17 ST,10003,PLAC,8,Unknown,None,NA,None,Manhattan,-73.984235,40.734551,10003,48,2000,33134,LONDON PLANETREE,PLATANUS ACERIFOLIA,"(40.734551, -73.984235)"
2,80 N MOORE ST,10013,ACPL,7,Good,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
3,80 N MOORE ST,10013,ACPL,6,Good,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
4,80 N MOORE ST,10013,ACPL,7,Excellent,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
5,80 N MOORE ST,10013,ACPL,6,Good,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
6,80 N MOORE ST,10013,SOJA,6,Good,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,JAPANESE PAGODA TREE,SOPHORA JAPONICA,"(40.720159, -74.010532)"
7,80 N MOORE ST,10013,ACPL,7,Excellent,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
8,80 N MOORE ST,10013,ACPL,7,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
9,80 N MOORE ST,10013,SOJA,4,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,JAPANESE PAGODA TREE,SOPHORA JAPONICA,"(40.720159, -74.010532)"
10,80 N MOORE ST,10013,ACPL,7,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
11,80 N MOORE ST,10013,ACPL,4,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
12,80 N MOORE ST,10013,ACPL,4,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.720159, -74.010532)"
13,80 N MOORE ST,10013,QUPA,3,Poor,None,Good,None,Manhattan,-74.010532,40.720159,10013,39,2001,31567,"OAK, PIN",QUERCUS PALUSTRIS,"(40.720159, -74.010532)"
14,40 HARRISON ST,10013,TICO,2,Poor,None,Good,None,Manhattan,-74.010661,40.718833,10013,39,2001,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718833, -74.010661)"
15,40 HARRISON ST,10013,FRPE,5,Poor,None,Good,None,Manhattan,-74.010661,40.718833,10013,39,2001,164122,"ASH, GREEN",FRAXINUS PENNSYLVANICA,"(40.718833, -74.010661)"
16,40 HARRISON ST,10013,FRPE,4,Good,None,Good,None,Manhattan,-74.010661,40.718833,10013,39,2001,164122,"ASH, GREEN",FRAXINUS PENNSYLVANICA,"(40.718833, -74.010661)"
17,25 HARRISON ST,10013,TICO,6,Excellent,None,Good,None,Manhattan,-74.01043,40.718806,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718806, -74.01043)"
18,27 HARRISON ST,10013,TICO,11,Excellent,None,Good,None,Manhattan,-74.010481,40.718812,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718812, -74.010481)"
19,29 HARRISON ST,10013,TICO,8,Good,None,Good,None,Manhattan,-74.010533,40.718818,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718818, -74.010533)"
20,29 HARRISON ST,10013,TICO,9,Excellent,None,Good,None,Manhattan,-74.010533,40.718818,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718818, -74.010533)"
21,33 HARRISON ST,10013,TICO,12,Excellent,None,Good,None,Manhattan,-74.010636,40.71883,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.71883, -74.010636)"
22,33 HARRISON ST,10013,TICO,10,Excellent,None,Good,None,Manhattan,-74.010636,40.71883,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.71883, -74.010636)"
23,33 HARRISON ST,10013,TICO,10,Excellent,None,Good,None,Manhattan,-74.010636,40.71883,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.71883, -74.010636)"
24,37 HARRISON ST,10013,TICO,10,Excellent,None,Good,None,Manhattan,-74.010739,40.718842,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718842, -74.010739)"
25,39 HARRISON ST,10013,TICO,11,Excellent,None,Good,None,Manhattan,-74.010791,40.718848,10013,39,3000,164122,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.718848, -74.010791)"
26,41 HARRISON ST,10013,GLTR,9,Poor,None,Good,None,Manhattan,-74.010843,40.718854,10013,39,3000,164122,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.718854, -74.010843)"
