Species,Diameter,Condition,Sidewalk_Condition,Borough,Longitude,Latitude
PLAC,8,Unknown,NA,Manhattan,-73.984235,40.734551
ACPL,7,Good,Good,Manhattan,-74.010532,40.720159
ACPL,6,Good,Good,Manhattan,-74.010532,40.720159
ACPL,7,Excellent,Good,Manhattan,-74.010532,40.720159
ACPL,6,Good,Good,Manhattan,-74.010532,40.720159
SOJA,6,Good,Good,Manhattan,-74.010532,40.720159
ACPL,7,Excellent,Good,Manhattan,-74.010532,40.720159
ACPL,7,Poor,Good,Manhattan,-74.010532,40.720159
SOJA,4,Poor,Good,Manhattan,-74.010532,40.720159
ACPL,7,Poor,Good,Manhattan,-74.010532,40.720159
ACPL,4,Poor,Good,Manhattan,-74.010532,40.720159
ACPL,4,Poor,Good,Manhattan,-74.010532,40.720159
QUPA,3,Poor,Good,Manhattan,-74.010532,40.720159
TICO,2,Poor,Good,Manhattan,-74.010661,40.718833
FRPE,5,Poor,Good,Manhattan,-74.010661,40.718833
FRPE,4,Good,Good,Manhattan,-74.010661,40.718833
TICO,6,Excellent,Good,Manhattan,-74.01043,40.718806
TICO,11,Excellent,Good,Manhattan,-74.010481,40.718812
TICO,8,Good,Good,Manhattan,-74.010533,40.718818
TICO,9,Excellent,Good,Manhattan,-74.010533,40.718818
TICO,12,Excellent,Good,Manhattan,-74.010636,40.71883
TICO,10,Excellent,Good,Manhattan,-74.010636,40.71883
TICO,10,Excellent,Good,Manhattan,-74.010636,40.71883
TICO,10,Excellent,Good,Manhattan,-74.010739,40.718842
TICO,11,Excellent,Good,Manhattan,-74.010791,40.718848
GLTR,9,Poor,Good,Manhattan,-74.010843,40.718854
GLTR,6,Poor,Good,Manhattan,-74.010791,40.718848
GLTR,8,Poor,Good,Manhattan,-74.010739,40.718842
GLTR,7,Poor,Good,Manhattan,-74.010636,40.71883
GLTR,10,Poor,Good,Manhattan,-74.010636,40.71883
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
TICO,9,Good,Good,Manhattan,-74.010399,40.718813
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
TICO,8,Poor,Good,Manhattan,-74.010354,40.719082
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,7,Poor,Good,Manhattan,1,1
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,3,Good,Good,Manhattan,1,1
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,4,Poor,Good,Manhattan,1,1
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,5,Good,Good,Manhattan,1,1
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,4,Poor,Good,Manhattan,1,1
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Good,Good,Manhattan,-74.005823,40.714754
GLTR,7,Good,Good,Manhattan,1,1
GIBI,5,Excellent,Good,Manhattan,1,1
GIBI,4,Good,Good,Manhattan,1,1
ULAM,4,Good,Good,Manhattan,-74.010354,40.719082
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
PR,2,Poor,Good,Manhattan,-74.006433,40.719742
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
PR,2,Poor,Good,Manhattan,-74.006433,40.719742
OSVI,5,Excellent,Good,Manhattan,-74.005823,40.714754
OSVI,4,Excellent,Good,Manhattan,-74.005823,40.714754
GLTR,5,Excellent,Good,Manhattan,-74.010132,40.720544
GLTR,5,Excellent,Good,Manhattan,-74.010132,40.720544
GLTR,5,Excellent,Good,Manhattan,-74.010132,40.720544
GLTR,4,Good,Good,Manhattan,-74.010132,40.720544
GLTR,5,Excellent,Good,Manhattan,-74.010132,40.720544
GLTR,5,Excellent,Good,Manhattan,-74.010132,40.720544
GLTR,6,Excellent,Good,Manhattan,-74.010132,40.720544
ACPL,6,Poor,Good,Manhattan,-74.010532,40.720159
ACPL,8,Poor,Good,Manhattan,-74.010532,40.720159
ACPL,7,Poor,Good,Manhattan,-74.010532,40.720159
FRPE,6,Excellent,Good,Manhattan,-74.010532,40.720159
OSVI,4,Excellent,Good,Manhattan,-74.006097,40.715544
OSVI,4,Good,Good,Manhattan,-74.006097,40.715544
OSVI,4,Poor,Good,Manhattan,-74.006097,40.715544
OSVI,4,Good,Good,Manhattan,-74.006097,40.715544
OSVI,4,Excellent,Good,Manhattan,-74.006097,40.715544
OSVI,4,Good,Good,Manhattan,-74.006097,40.715544
